term,Perussuomalaiset freq,Vihreä liitto freq,Vasemmistoliitto freq,Suomen Kristillisdemokraatit (KD) freq,Kansallinen Kokoomus freq,Suomen Sosialidemokraattinen Puolue freq,Suomen Keskusta freq,Kokoomus_score,Perus_score,Keskusta_score,Krist_score,SDP_score,Vasen_score,Vihreä_score
meidä tehtäv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tehtäv 3,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
3 seuraav,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
seuraav finanssikr,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
finanssikr on,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
on myös,2,6,1,0,3,3,3,0.6845595918324339,0.21609988318463458,0.6842837207136738,0.15177521611005823,0.721485622315349,0.1834405709303713,0.8365893614331472
myös estettäv,0,0,0,0,0,1,1,0.47205054999834195,0.4729733576732623,0.5611447810889078,0.47429352054303964,0.574106966331107,0.47338367184447067,0.4706991160842901
estettäv ole,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ole kirj,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
kirj esittäny,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
esittäny ratkaisu,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ratkaisu jol,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
jol vil,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vil rahamarkkin,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
rahamarkkin saada,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
saada kur,0,0,1,0,0,1,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.574106966331107,0.582539194624813,0.4706991160842901
kur vastuullin,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vastuullin markkinatalous,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
markkinatalous palvelem,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
palvelem ihmiskunt,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tunt,1,0,0,0,2,3,0,0.6611391292301263,0.5,0.36381417546306066,0.37605905921278654,0.8330385456164111,0.371824319619761,0.35939087812670323
kohtuus,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tunt asia,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
asia ei,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ei vielä,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vielä riitä,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
riitä täytyy,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
täytyy tunt,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tunt myös,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
myös oikeus,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
oikeus kohtuus,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vääryys,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ja vääryys,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vääryys 4,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
4 jokais,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
jokais on,0,6,1,0,0,7,0,0.19283055775078423,0.2011810480450264,0.18889969739296975,0.2130040588267828,0.9662728745802602,0.25289183937226833,0.8702598614964223
on ihmisarvo,0,0,0,0,0,2,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.7435932927413631,0.47338367184447067,0.4706991160842901
jota,3,1,2,0,4,1,0,0.8335725936946096,0.7507896078998985,0.2470641577663339,0.26805385375836244,0.3142568872247697,0.6530859032064372,0.2855017733427436
per,0,2,0,0,1,1,0,0.5247404137376906,0.42026590240395884,0.41645758004253214,0.42411802019759914,0.5347585951217267,0.421466107045067,0.6423714244293404
antamat,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
menestystekij,0,0,0,0,0,2,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.7435932927413631,0.47338367184447067,0.4706991160842901
jota puolust,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
puolust per,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
per antamat,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
antamat 5,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
5 tasaarvo,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tasaarvo on,0,1,0,0,0,2,0,0.4445475431775871,0.4463661295507027,0.4437835904887715,0.4489748147580188,0.7371954039290034,0.4471780008683319,0.518001113842324
suome menestystekij,0,0,0,0,0,2,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.7435932927413631,0.47338367184447067,0.4706991160842901
sattunu,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
syntym,0,1,0,0,0,3,1,0.39125400802515276,0.3947536289090965,0.5104752276446047,0.39979182645404326,0.8445599248972169,0.3963248500349303,0.45744834365775144
vähävarais,0,0,1,0,0,3,0,0.4175861232784803,0.42026590240395884,0.41645758004253214,0.42411802019759914,0.8533111000870007,0.5428844659972479,0.4136610678692508
syrjäsuom,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vaik oli,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
oli sattunu,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
sattunu syntym,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
syntym vähävarais,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vähävarais perh,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
perh tai,0,0,1,0,0,1,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.574106966331107,0.582539194624813,0.4706991160842901
tai syrjäsuom,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
syrjäsuom laps,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
nuore on,0,0,0,0,1,1,0,0.5653252356515109,0.4729733576732623,0.471663263683927,0.47429352054303964,0.574106966331107,0.47338367184447067,0.4706991160842901
koulutus terveyd,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
terveyd tasaarvo,0,0,0,1,0,1,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.6064755040436786,0.574106966331107,0.47338367184447067,0.4706991160842901
parannettav 6,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
6 ole,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
sitoutunu,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
sitoutunu voimak,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
naist,0,5,2,0,0,1,0,0.3167870394122022,0.32244370913065423,0.3143429700313891,0.33059401287598406,0.39015985321277963,0.681784018661883,0.8731802219383267
miest,0,5,1,0,0,1,0,0.34078777215744693,0.34578034713937544,0.33864945621644676,0.352976367862582,0.5,0.507528126114659,0.8834477752065384
iäk,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
motivaatio,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vanhen,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vanh,0,2,0,0,0,1,0,0.4445475431775871,0.4463661295507027,0.4437835904887715,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.6591964471147131
nuortuv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
naist ja,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ja miest,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
miest palkkatasaarvo,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
palkkatasaarvo iäk,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
iäk työntekijö,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
työntekijö motivaatio,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
motivaatio jaksamis,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
jaksamis kannat,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
